||1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
|Weight|203.615021712|121.021256815|102.797881821|96.8308228425|85.1337376818|82.7638081862|79.8350001426|77.6664196111|74.6070181251|73.1094103855|69.0965599529|68.1365878361|66.4803049535|64.5130880771|63.5694364795
Movie ID|Title|||||||||||||||
11|Star Wars: Episode IV - A New Hope (1977)|-0.106651331763671|-0.094401475811505|0.199949047255203|0.02519571520393|-0.064437076993553|0.276259473872819|-0.206927935357407|0.05409256659615|-0.025950261627834|-0.088964290202545|-0.117163641433646|0.104473918490165|0.049531967273628|0.140639373603652|-0.03120588113185
12|Finding Nemo (2003)|-0.023980383479262|-0.026960039312455|-0.038067377099859|0.248295892155956|-0.11889445675004|-0.068092074309169|0.064116896516052|0.037390423892411|-0.082457267941614|0.0378408041117|-0.067603348241455|-0.017251874147031|-0.069223226237914|0.063107041828355|0.159912927374572
13|Forrest Gump (1994)|-0.157041787822133|-0.039888800630893|-0.224400161212369|0.062452412715041|0.09802639516162|0.078254707732546|-0.047103966313254|0.14774284085928|-0.100540072815097|-0.018726806969712|0.076231253246301|0.016129192454932|-0.040507002717745|-0.275025300880082|-0.052563589295748
14|American Beauty (1999)|-0.044468065024294|0.198715196324758|-0.006576751238333|0.00875960558573|0.056092921487058|-0.020370352479226|-0.04614999113133|0.007244091973715|0.008791457985329|-0.067561938267787|0.063375342874501|-0.177546656317265|-0.100530776560361|0.068352856828988|-0.085436784550767
22|Pirates of the Caribbean: The Curse of the Black Pearl (2003)|0.036255800340972|-0.13242133623897|0.036410246213995|0.007510240597238|-0.010657249567666|-0.06537230361103|0.0927681641009|0.003815525986693|-0.081899994536939|0.08395820894544|0.1677398393272|-0.09534037156913|0.1752846197312|0.106542090423329|-0.287539599869903
24|Kill Bill: Vol. 1 (2003)|-0.045203056740573|0.181569509899805|0.205704700862652|-0.171393675499464|-0.005188634291746|-0.11500728625644|0.180589447141484|0.525396512462504|0.03198693244159|0.047833687333364|-0.138115065394259|0.032691708276971|0.088862345146903|-0.048018074096391|0.13002008750189
38|Eternal Sunshine of the Spotless Mind (2004)|-0.048743456853188|0.161058446929866|0.014167802263355|0.024869051738235|0.047061003525934|-0.040450249752777|-0.020911030623154|-0.109094619275299|0.027812121254993|-0.055462991798613|0.059242122514223|-0.126222373837157|-0.022279536276198|0.05965409533014|0.029782607524107
63|Twelve Monkeys (a.k.a. 12 Monkeys) (1995)|-0.043142991377277|0.126401836133862|0.074891612451363|-0.041528848057984|-0.010770296304562|-0.00808349758623|-0.029304084884765|-0.104812878214336|0.008549781629165|-0.004802919773973|0.094148623245694|-0.065322012979842|0.035578663315397|-0.02856849899802|0.054183265885616
77|Memento (2000)|-0.101176837861732|0.133322032833829|-0.012022406060739|-0.024179915148521|-0.032623474626047|-0.071458803201849|-6.46E-05|-0.127380423173011|-0.023346277240979|-0.077505592050692|0.029817856985806|-0.0520917871618|-0.003957444224628|0.063916984758713|0.063371677769392
85|Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)|-0.087020232594257|0.001920758768186|0.048245779038111|0.043147575243351|-0.136802939728387|0.130877625324497|-0.067871382792673|0.034690382410506|0.166582424165041|0.04709504484706|0.052792114297739|0.095093431176343|-0.107238598350026|-0.049798782058007|-0.024794300453679
98|Gladiator (2000)|-0.095649044471234|-0.118547441760784|-0.191501805846265|-0.067173726686736|0.013967689058852|0.000774739130951|0.041532740638266|0.009761477471467|-0.015494999070347|0.064096714047749|-0.099515446349658|0.017139267440365|0.090265357973232|-0.042094097625854|-0.022019844307781
105|Back to the Future (1985)|-0.077625410170965|-0.003591110404778|0.010830431989466|0.017189441878672|-0.176168073910629|0.183951806478467|-0.06093518869874|0.047726031066628|0.137122895461574|0.046375643688232|0.149227776662924|0.002038226637707|-0.071400398228728|-0.094299233729821|0.01480293544497
107|Snatch (2000)|-0.050142327149704|0.138729541209341|0.040761967344357|-0.036312501280962|0.017148841180083|0.019384544912108|0.011670804457467|-0.070220207696236|-0.043909295267332|0.049726504982739|0.042280326300395|0.028465921319233|0.096971394588657|-0.00654109076844|-0.055369386254519
114|Pretty Woman (1990)|0.116240608968209|0.029613212520993|-0.14165528262291|0.073871158892892|0.108746629745454|-0.012435003286042|-0.114488147894915|0.145690278520219|0.102789329394445|0.044300373569732|0.007442367894266|-0.063082054636865|0.063859711477472|0.082486868691684|-0.020370090126885
120|The Lord of the Rings: The Fellowship of the Ring (2001)|-0.157497803924038|-0.22816733140033|0.227915770813564|0.038214381188017|0.290180053051775|-0.038962807363561|0.126901739842024|-0.085298702556202|0.167285136919165|0.157714657466506|-0.026912691555893|-0.060022199772902|-0.105361649650685|-0.020912223846555|-0.034651772910641
121|The Lord of the Rings: The Two Towers (2002)|-0.141332641215627|-0.228428416308082|0.226529246774051|0.035852780134184|0.298140143139331|-0.041195749024681|0.121425134140679|-0.080461181697261|0.137021531959034|0.157700832986972|-0.039055025909371|-0.075555871590888|-0.072985598677273|-0.041187799085551|-0.036739818415227
122|The Lord of the Rings: The Return of the King (2003)|-0.159159747819472|-0.229643481392305|0.211320711222967|0.034750465095957|0.291393108920859|-0.039638502569739|0.127625914311708|-0.105860257197284|0.157102956959929|0.155751944889294|-0.054643582127714|-0.075175238573834|-0.07833949499819|-0.021425897571059|-0.039500262149749
134|O Brother Where Art Thou? (2000)|-0.004053794163008|0.126744550652228|0.062323609004384|0.029321783902588|0.023608663823216|-0.011537496484186|-0.064899410457973|-0.047138978127806|0.020873747906321|-0.010265746079925|-0.026541858422364|0.039241794232211|-0.042430712200796|0.010583969847317|0.033838431057168
141|Donnie Darko (2001)|0.003985111787021|0.142987569730249|0.062278486368483|-0.002007601339507|0.042288356496653|-0.008291850156554|-0.049648140956282|-0.112038490056659|0.015739307005315|-0.018350536859462|0.053177518608831|-0.03442749428488|0.085629772719407|0.032493312572097|0.059283873248552
146|Crouching Tiger Hidden Dragon (Wo hu cang long) (2000)|-0.009102132957945|0.04543843989012|0.076534894555719|0.016669864226602|0.018687807224495|-0.081411775005373|-0.011884005965308|0.038821105913942|0.017427693397535|0.007590558642457|-0.056254231944391|-0.084031666954|-0.149510667773118|0.059144334213346|0.024461980098345
153|Lost in Translation (2003)|0.001333027983439|0.158733467930453|0.037131001433669|0.03044925863548|0.067129279557012|-0.032054726560648|-0.07780687560983|-0.088451879972303|0.024806100492135|-0.062780836716286|0.037654996132448|-0.073974825514219|-0.130044682888405|0.127605833564306|0.033692776854259
155|The Dark Knight (2008)|-0.152029046808523|-0.102862274144931|-0.023590246803199|-0.056597838971037|-0.159707745554786|-0.081340099088408|0.15125682896747|-0.19053203835505|0.015410443138119|-0.11033382893955|-0.136613900706149|-0.021755743210374|0.269019741128974|0.08965912485152|0.055892554305456
161|Ocean's Eleven (2001)|-0.011846900462703|-0.023070297523459|-0.069433258679366|-0.100461904215593|-0.057134251769848|-0.089991688395065|0.031694174503028|-0.024014880722582|-0.060032821392721|0.10664986531431|0.010926170164309|0.058692743646949|0.040317935523693|0.202420608834869|-0.072158336817993
180|Minority Report (2002)|0.006106280165027|-0.028230899427892|-0.01155409932429|-0.114488603929633|-0.053246562877392|-0.034248781053348|-0.082120071870623|-0.018584741166093|-0.012260607580806|0.0634004825375|0.072186644817265|-0.043255951857911|-0.066678079542709|0.018453285497113|0.120726482077038
187|Sin City (2005)|0.001766777228765|0.134194688938175|0.110077942872386|-0.034540809373322|0.039437465257091|0.010431038201757|0.062285732897658|0.023588399316324|-0.104798378521397|0.079040678237338|0.039007894421284|-0.070830086894625|0.093141059917599|-0.035841712936604|0.038083648363742
194|Amelie (2001)|-0.063396836291703|0.159914026046349|0.027766245737889|0.106051806573634|0.063410752428269|-0.042671951825901|-0.093911750260246|0.013136067676346|0.007811466089518|-0.052626027787714|0.073230836798287|-0.104810352866457|-0.129950495871631|0.054359486372445|-0.063620511350724
